Datum trgovanja,Cena,Promena,Obim,Promet,Open,Min,Max,Ponuda
17.05.2024,859,"-0,12",1.586,1.363.690,860,855,860,860
16.05.2024,860,"-0,58",590,507.400,860,860,860,860
15.05.2024,865,"-0,46",2.488,2.100.059,843,843,869,844
14.05.2024,869,"2,24",260,225.720,850,850,869,868
13.05.2024,850,"-2,63",1.176,1.004.650,860,850,860,854
10.05.2024,873,"-0,11",181,158.070,870,870,875,873
09.05.2024,874,"0,11",1.683,1.470.903,871,871,877,874
08.05.2024,873,0,227,198.139,871,871,877,873
07.05.2024,873,"1,28",992,866.126,861,861,877,873
30.04.2024,862,"1,41",40,34.460,860,860,864,862
29.04.2024,850,"-1,62",1.969,1.673.650,850,850,850,850
26.04.2024,864,"-0,92",1.094,954.545,879,855,879,873
25.04.2024,872,"-0,8",695,604.914,852,852,878,870
24.04.2024,879,"3,29",1.729,1.517.487,860,860,879,878
23.04.2024,851,"-1,85",8.369,7.126.579,860,850,867,852
22.04.2024,867,"1,4",729,631.543,860,860,885,866
19.04.2024,855,"-0,58",89.705,76.696.732,852,852,860,855
18.04.2024,860,0,6.083,5.233.180,860,860,868,860
17.04.2024,860,"-0,92",15.580,13.398.820,860,860,862,860
16.04.2024,868,"0,7",1.413,1.227.350,870,860,871,869
15.04.2024,862,"-0,81",552,476.283,870,855,870,863
12.04.2024,869,"0,81",1.668,1.448.418,856,856,870,868
11.04.2024,862,"-3,58",328,283.062,897,862,897,863
10.04.2024,894,"-0,67",14.246,12.733.847,900,860,900,894
09.04.2024,900,"4,05",42.850,38.561.689,898,885,900,900
08.04.2024,865,"0,58",449,388.180,860,857,870,865
05.04.2024,860,0,423,364.555,870,860,870,862
04.04.2024,860,"0,94",215,184.780,852,852,860,859
03.04.2024,852,0,1.570,1.337.015,851,851,870,852
02.04.2024,852,"0,71",465,396.165,842,842,860,852
01.04.2024,846,"-1,63",343,290.092,841,841,850,846
29.03.2024,860,"1,9",444,381.460,840,840,865,859
28.03.2024,844,"-0,71",1.838,1.557.225,850,840,850,847
27.03.2024,850,"0,24",133,113.050,850,850,850,850
26.03.2024,848,"0,95",2.426,2.057.255,833,833,850,848
25.03.2024,840,"0,6",111,94.240,850,840,850,849
22.03.2024,835,"-0,12",503,420.055,840,835,840,835
21.03.2024,836,"-1,65",130,109.088,840,833,840,839
20.03.2024,850,0,12.577,10.690.450,850,850,850,850
19.03.2024,850,0,3.420,2.907.700,850,850,860,850
18.03.2024,850,"3,28",209,176.410,823,823,855,844
15.03.2024,823,"0,24",306,251.788,821,821,824,823
14.03.2024,821,"0,24",96,78.791,820,820,821,821
13.03.2024,819,"0,37",1.318,1.079.669,817,816,820,819
12.03.2024,816,"0,25",90,73.410,814,814,816,816
11.03.2024,814,"0,12",721,587.033,813,813,815,814
08.03.2024,813,"0,37",114,92.532,810,810,813,812
07.03.2024,810,"0,62",322,260.820,810,810,810,810
06.03.2024,805,"0,63",110,88.360,790,790,810,803
05.03.2024,800,"0,13",597,477.444,799,799,802,800
04.03.2024,799,"2,3",6.532,5.215.075,781,781,800,798
01.03.2024,781,0,410,320.226,780,780,800,781
29.02.2024,781,"0,13",2.861,2.234.660,780,780,798,781
28.02.2024,780,"0,52",2.269,1.769.499,760,760,786,780
27.02.2024,776,"-1,15",340,264.443,784,754,784,778
26.02.2024,785,"-0,13",7.955,6.246.515,790,785,795,785
23.02.2024,786,"-1,13",12.096,9.509.785,791,786,793,786
22.02.2024,795,"0,25",8.718,6.926.006,787,787,797,794
21.02.2024,793,"-0,5",7.022,5.568.076,793,791,793,793
20.02.2024,797,"-0,38",5.087,4.053.455,800,795,800,797
19.02.2024,800,"-0,12",3.369,2.695.953,801,800,802,800
14.02.2024,801,"-0,12",268,214.686,800,800,802,801
13.02.2024,802,"0,12",4.519,3.622.264,800,800,814,802
12.02.2024,801,"-0,37",2.738,2.192.121,801,799,804,801
09.02.2024,804,"0,25",942,762.175,815,803,815,809
08.02.2024,802,"-1,11",2.317,1.860.250,815,800,815,803
07.02.2024,811,"-0,49",20,16.165,806,806,811,808
06.02.2024,815,"0,12",1.237,1.007.798,814,810,815,815
05.02.2024,814,"0,37",995,810.065,815,810,815,814
02.02.2024,811,"-0,49",3.879,3.145.809,815,810,816,811
01.02.2024,815,0,9.498,7.738.205,815,810,820,815
31.01.2024,815,0,5.128,4.179.495,814,814,819,815
30.01.2024,815,0,335,273.025,815,815,815,815
29.01.2024,815,"0,12",313,255.045,812,812,815,815
26.01.2024,814,"-0,12",1.090,887.710,815,813,815,814
25.01.2024,815,0,156,127.010,813,813,815,814
24.01.2024,815,0,1.016,828.020,812,812,820,815
23.01.2024,815,"0,49",619,504.267,811,811,815,815
22.01.2024,811,"-0,25",53,42.969,810,810,813,811
19.01.2024,813,"0,25",826,671.190,811,810,816,813
18.01.2024,811,"-0,49",549,446.043,815,810,815,812
17.01.2024,815,"-0,12",198,161.315,812,812,815,815
16.01.2024,816,"0,12",1.451,1.183.592,815,815,820,816
15.01.2024,815,"0,25",290,236.350,815,815,815,815
12.01.2024,813,"0,74",113,92.070,815,810,815,815
11.01.2024,807,"-0,37",22.578,18.212.587,806,800,815,807
10.01.2024,810,"-0,37",5.643,4.572.856,812,810,814,810
09.01.2024,813,"0,12",1.092,887.914,812,812,814,813
05.01.2024,812,"0,37",863,698.234,809,809,812,809
04.01.2024,809,"0,12",1.601,1.295.880,810,807,810,809
03.01.2024,808,"-0,49",332,268.620,810,807,810,809
28.12.2023,812,"0,12",1931,1568053,811,811,814,-
27.12.2023,811,"-0,37",411,333375,811,811,814,-
26.12.2023,814,"0,37",503,409322,810,810,814,-
25.12.2023,811,"0,37",9706,7862081,810,810,811,-
22.12.2023,808,"-0,25",493,398577,810,804,810,-
21.12.2023,810,0,17334,14040540,810,810,810,-
20.12.2023,810,"1,12",5171,4188060,800,800,810,-
19.12.2023,801,"-0,99",258,206707,805,800,809,-
18.12.2023,809,"-0,25",119,96245,801,801,810,-
15.12.2023,811,"0,5",178,144382,804,804,814,-
14.12.2023,807,"0,25",3046,2457520,805,804,811,-
13.12.2023,805,"-0,25",336,270522,804,804,808,-
12.12.2023,807,"0,37",431,347702,801,801,808,-
11.12.2023,804,"0,63",327,262940,799,799,805,-
08.12.2023,799,"-0,12",485,387200,790,790,800,-
07.12.2023,800,"-0,12",5034,4028300,801,800,801,-
06.12.2023,801,"-0,87",7423,5948738,805,800,815,-
05.12.2023,808,"0,12",230,186100,810,808,810,-
04.12.2023,807,"-0,49",1140,919994,809,805,815,-
01.12.2023,811,"-0,49",48,38795,803,803,815,-
30.11.2023,815,0,45,36375,803,803,815,-
29.11.2023,815,"1,62",575,468275,802,802,815,-
28.11.2023,802,"-1,47",605,485305,804,800,810,-
27.11.2023,814,"0,12",1407,1144859,810,810,815,-
24.11.2023,813,"-0,25",689,559855,801,801,815,-
23.11.2023,815,"1,88",2479,2020617,798,798,820,-
22.11.2023,800,"0,13",2103,1681990,792,792,800,-
21.11.2023,799,"1,14",5239,4188026,790,790,800,-
20.11.2023,790,0,680,537200,790,790,790,-
17.11.2023,790,"0,25",1126,889352,784,784,795,-
16.11.2023,788,"0,13",2122,1672840,781,781,789,-
